iter	R2	RMSE
0	0.01699953225	1.617594879
1	0.03470129098	1.602963981
2	0.05171209575	1.588777228
3	0.06568200406	1.5770311
4	0.08101414203	1.564038052
5	0.09641226307	1.550879535
6	0.1096514116	1.539476055
7	0.1218286172	1.528912183
8	0.1336834583	1.518557372
9	0.1456122047	1.508066244
10	0.1575868783	1.4974608
11	0.1676340769	1.48850414
12	0.1775074747	1.479649599
13	0.186655682	1.471397858
14	0.1959587044	1.462958742
15	0.2044637554	1.455200671
16	0.2125179286	1.447815556
17	0.2213842038	1.439641993
18	0.228711689	1.432851807
19	0.2357215637	1.426325689
20	0.2421748479	1.420291241
21	0.2488477649	1.414024333
22	0.2552716716	1.407964932
23	0.262469274	1.401144609
24	0.2702523564	1.393731936
25	0.2756730546	1.38854584
26	0.2809827036	1.38344714
27	0.2856569875	1.378942958
28	0.2927616937	1.372068484
29	0.3008101782	1.364238966
30	0.3067398047	1.358441791
31	0.3127557264	1.352534855
32	0.319354559	1.346025759
33	0.3241143359	1.3413111
34	0.3277414223	1.337707239
35	0.3310564507	1.334404925
36	0.3341731571	1.331292701
37	0.3402671241	1.325186382
38	0.3461299615	1.319284985
39	0.3527907543	1.31254819
40	0.3572516039	1.30801704
41	0.3609009569	1.304298469
42	0.366651859	1.298416875
43	0.3692884356	1.295711454
44	0.3728397583	1.292058449
45	0.3784083797	1.286309498
46	0.381993685	1.282594453
47	0.3856962257	1.278746602
48	0.3884074095	1.275921656
49	0.3924893093	1.27165664
50	0.395603685	1.268392907
51	0.3992713501	1.26453855
52	0.4004808438	1.263264911
53	0.4035394348	1.260038366
54	0.4052846846	1.258193573
55	0.406479981	1.256928538
56	0.4105391909	1.252622963
57	0.4135474724	1.249422528
58	0.4156218621	1.247210852
59	0.4195990438	1.24295945
60	0.4217725685	1.240629908
61	0.4256209874	1.236494481
62	0.4263331554	1.235727684
63	0.429123051	1.232719184
64	0.4311361292	1.230543801
65	0.4338501479	1.227604863
66	0.4357659638	1.225526033
67	0.4391742484	1.221819
