iter	Passed	Remaining
0	0	1439
1	1	1614
2	2	1706
3	3	1994
4	4	1925
5	5	1893
6	6	1874
7	7	1853
8	8	1832
9	9	1860
10	10	1847
11	10	1784
12	11	1773
13	12	1739
14	13	1743
15	14	1745
16	14	1744
17	15	1747
18	16	1758
19	17	1722
20	18	1722
21	19	1779
22	20	1783
23	21	1787
24	22	1780
25	23	1773
26	24	1774
27	25	1765
28	25	1759
29	26	1758
30	27	1752
31	28	1737
32	29	1730
33	29	1732
34	30	1716
35	31	1712
36	32	1714
37	33	1719
38	36	1820
39	37	1825
40	38	1822
41	39	1823
42	40	1822
43	40	1821
44	41	1814
45	42	1812
46	43	1812
47	44	1809
48	45	1810
49	46	1798
50	46	1793
51	47	1795
52	48	1773
53	49	1774
54	50	1772
55	50	1757
56	51	1757
57	54	1811
58	55	1812
59	56	1810
60	57	1812
61	57	1811
62	58	1791
63	59	1788
64	60	1786
65	60	1785
66	61	1785
67	63	1796
68	63	1788
69	65	1794
70	65	1792
71	66	1770
72	66	1755
73	67	1751
74	68	1750
75	69	1747
76	70	1748
77	70	1745
78	71	1747
79	72	1745
80	73	1744
81	74	1740
82	75	1738
83	76	1735
84	76	1732
85	77	1730
86	79	1738
87	79	1734
88	80	1722
89	80	1717
90	81	1716
91	82	1706
92	83	1706
93	84	1704
94	84	1691
95	85	1688
96	85	1684
97	86	1683
98	87	1681
99	88	1679
100	88	1668
101	89	1667
102	90	1661
103	91	1662
104	92	1664
105	93	1663
106	93	1662
107	94	1663
108	95	1661
109	96	1659
110	97	1662
111	98	1662
112	99	1660
113	100	1660
114	101	1659
115	101	1655
116	102	1656
117	103	1654
118	104	1652
119	105	1646
120	105	1645
121	106	1646
122	107	1642
123	108	1643
124	109	1643
125	110	1642
126	111	1639
127	111	1637
128	112	1631
129	113	1629
130	113	1626
131	114	1621
132	115	1620
133	115	1613
134	116	1611
135	117	1610
136	118	1609
137	119	1607
138	120	1607
139	120	1603
140	121	1604
141	122	1603
142	123	1601
143	123	1597
144	124	1594
145	125	1592
146	126	1591
147	127	1591
148	127	1582
149	128	1580
150	129	1579
151	129	1577
152	130	1576
153	131	1574
154	132	1572
155	132	1567
156	133	1565
157	134	1563
158	134	1561
159	135	1558
160	136	1557
161	137	1558
162	138	1556
163	138	1555
164	139	1552
165	140	1550
166	140	1544
167	141	1545
168	142	1547
169	143	1543
170	144	1542
171	145	1542
172	145	1541
173	146	1534
174	146	1531
175	147	1530
176	148	1530
177	149	1528
178	149	1521
179	149	1514
180	150	1513
181	151	1512
182	152	1513
183	153	1517
184	154	1516
185	156	1528
186	158	1534
187	159	1532
188	159	1531
189	160	1529
190	161	1528
191	162	1527
192	163	1526
193	163	1526
194	164	1523
195	165	1523
196	166	1524
197	167	1524
198	168	1524
199	169	1523
200	170	1524
201	171	1525
202	172	1525
203	173	1524
204	174	1523
205	174	1523
206	175	1521
207	176	1518
208	177	1517
209	178	1517
210	178	1515
211	179	1514
212	180	1514
213	181	1512
214	182	1511
215	182	1511
216	183	1509
217	184	1510
218	185	1509
219	186	1505
220	186	1504
221	187	1505
222	188	1504
223	189	1502
224	190	1500
225	190	1498
226	191	1497
227	192	1495
228	193	1493
229	194	1493
230	194	1491
231	195	1489
232	196	1488
233	197	1486
234	197	1485
235	198	1484
236	199	1482
237	200	1482
238	201	1482
239	202	1482
240	203	1482
241	203	1481
242	204	1480
243	205	1478
244	206	1477
245	206	1475
246	207	1470
247	207	1469
248	208	1468
249	209	1467
250	210	1465
251	211	1464
252	212	1464
253	213	1465
254	213	1464
255	214	1464
256	215	1464
257	216	1464
258	217	1462
259	218	1462
260	219	1461
261	220	1460
262	221	1459
263	221	1457
264	222	1456
265	222	1452
266	223	1450
267	224	1448
268	224	1447
269	225	1445
270	226	1445
271	227	1447
272	228	1447
273	229	1446
274	230	1445
275	231	1445
276	232	1445
277	233	1443
278	233	1442
279	234	1442
280	235	1440
281	236	1440
282	237	1439
283	238	1438
284	238	1437
285	239	1436
286	240	1435
287	241	1433
288	241	1431
289	242	1431
290	243	1431
291	244	1430
292	245	1428
293	245	1427
294	246	1427
295	247	1426
296	248	1425
297	249	1423
298	250	1422
299	250	1421
300	251	1420
301	252	1420
302	253	1419
303	254	1418
304	255	1417
305	255	1416
306	256	1416
307	257	1415
308	258	1414
309	259	1413
310	259	1411
311	260	1410
312	262	1415
313	263	1415
314	264	1413
315	265	1413
316	266	1412
317	266	1412
318	267	1410
319	268	1409
320	269	1407
321	269	1406
322	270	1404
323	271	1403
324	272	1402
325	272	1401
326	274	1402
327	275	1404
328	276	1403
329	278	1410
330	279	1409
331	280	1409
332	281	1408
333	282	1407
334	282	1406
335	283	1405
336	284	1404
337	285	1403
338	286	1402
339	287	1401
340	287	1400
341	288	1400
342	289	1400
343	290	1399
344	291	1398
345	292	1397
346	293	1396
347	293	1394
348	294	1393
349	295	1392
350	296	1392
351	297	1391
352	298	1390
353	298	1389
354	299	1388
355	300	1387
356	301	1386
357	302	1385
358	302	1384
359	303	1383
360	304	1382
361	305	1381
362	306	1380
363	306	1378
364	308	1383
365	309	1382
366	310	1381
367	311	1382
368	312	1381
369	313	1379
370	313	1378
371	314	1377
372	315	1376
373	316	1374
374	317	1374
375	317	1372
376	318	1372
377	319	1372
378	320	1371
379	321	1369
380	322	1369
381	323	1369
382	324	1368
383	325	1367
384	325	1366
385	326	1365
386	327	1364
387	328	1364
388	329	1362
389	329	1361
390	330	1360
391	331	1360
392	332	1359
393	333	1358
394	334	1357
395	335	1357
396	335	1356
397	336	1355
398	337	1354
399	338	1354
400	339	1352
401	340	1351
402	340	1350
403	341	1349
404	342	1347
405	343	1347
406	344	1346
407	344	1345
408	345	1344
409	346	1343
410	347	1342
411	348	1341
412	348	1340
413	349	1339
414	351	1341
415	352	1340
416	353	1340
417	353	1339
418	354	1338
419	355	1338
420	357	1340
421	358	1340
422	359	1340
423	360	1339
424	361	1338
425	362	1337
426	362	1336
427	363	1335
428	364	1334
429	365	1334
430	366	1333
431	367	1333
432	368	1332
433	369	1332
434	370	1331
435	370	1330
436	371	1328
437	372	1327
438	373	1327
439	374	1326
440	374	1325
441	375	1323
442	376	1322
443	377	1321
444	377	1320
445	378	1319
446	379	1318
447	380	1317
448	381	1317
449	382	1316
450	383	1316
451	384	1315
452	385	1315
453	385	1314
454	387	1314
455	387	1313
456	388	1312
457	389	1311
458	390	1310
459	391	1309
460	391	1307
461	392	1306
462	393	1306
463	394	1304
464	395	1304
465	396	1304
466	397	1303
467	397	1302
468	398	1302
469	399	1301
470	400	1300
471	401	1299
472	402	1298
473	403	1297
474	404	1297
475	404	1296
476	405	1295
477	406	1294
478	407	1293
479	408	1292
480	408	1291
481	409	1289
482	410	1289
483	411	1289
484	412	1289
485	413	1288
486	414	1287
487	415	1287
488	416	1286
489	417	1285
490	418	1284
491	418	1283
492	419	1283
493	420	1282
494	421	1281
495	422	1280
496	423	1279
497	423	1278
498	424	1277
499	425	1277
500	426	1277
501	427	1276
502	428	1275
503	429	1275
504	430	1274
505	431	1272
506	431	1271
507	432	1271
508	433	1270
509	434	1269
510	435	1268
511	435	1267
512	436	1266
513	437	1265
514	438	1264
515	439	1263
516	439	1261
517	440	1260
518	441	1259
519	442	1259
520	443	1259
521	444	1259
522	445	1258
523	446	1257
524	447	1256
525	448	1256
526	449	1255
527	449	1254
528	450	1253
529	451	1252
530	452	1251
531	453	1251
532	454	1250
533	454	1249
534	455	1248
535	456	1247
536	457	1246
537	458	1245
538	459	1244
539	460	1244
540	461	1243
541	462	1243
542	463	1242
543	464	1241
544	464	1240
545	465	1240
546	466	1239
547	467	1238
548	468	1237
549	468	1236
550	469	1235
551	471	1235
552	472	1235
553	473	1236
554	474	1235
555	475	1235
556	476	1234
557	477	1235
558	478	1234
559	479	1233
560	480	1232
561	481	1231
562	482	1231
563	483	1230
564	484	1229
565	484	1228
566	485	1227
567	486	1227
568	487	1226
569	488	1225
570	489	1224
571	491	1227
572	492	1227
573	493	1226
574	494	1225
575	495	1225
576	496	1224
577	497	1224
578	498	1222
579	499	1221
580	500	1221
581	500	1220
582	501	1219
583	502	1218
584	503	1217
585	504	1217
586	505	1216
587	506	1215
588	507	1215
589	508	1214
590	509	1213
591	510	1212
592	510	1212
593	511	1211
594	512	1210
595	513	1209
596	514	1208
597	514	1207
598	515	1206
599	517	1206
600	518	1206
601	519	1205
602	519	1204
603	520	1203
604	521	1202
605	522	1202
606	523	1201
607	524	1200
608	525	1199
609	526	1198
610	526	1197
611	527	1196
612	528	1195
613	529	1194
614	530	1193
615	530	1192
616	531	1191
617	532	1191
618	533	1190
619	534	1189
620	535	1189
621	536	1188
622	537	1187
623	538	1187
624	539	1186
625	540	1185
626	540	1184
627	541	1183
628	542	1181
629	543	1181
630	543	1180
631	544	1179
632	545	1177
633	546	1176
634	547	1176
635	548	1176
636	549	1175
637	550	1174
638	551	1174
639	552	1173
640	553	1172
641	554	1172
642	554	1171
643	555	1170
644	556	1169
645	557	1168
646	558	1167
647	559	1166
648	559	1165
649	560	1164
650	561	1163
651	562	1162
652	563	1162
653	564	1161
654	565	1161
655	566	1159
656	567	1159
657	567	1158
658	568	1157
659	569	1156
660	570	1155
661	571	1154
662	572	1153
663	573	1152
664	573	1151
665	574	1150
666	575	1150
667	576	1149
668	577	1148
669	578	1147
670	578	1146
671	579	1145
672	580	1144
673	581	1143
674	582	1142
675	583	1141
676	584	1141
677	584	1140
678	585	1139
679	586	1138
680	587	1138
681	588	1137
682	589	1136
683	589	1135
684	590	1134
685	591	1133
686	592	1132
687	593	1131
688	594	1131
689	595	1130
690	596	1129
691	597	1128
692	598	1129
693	599	1128
694	600	1127
695	601	1126
